username,location,languages,completed_amount,title,level,rating_score,reviews,collect_count,tags,five_star,four_star,three_star,two_star,one_star,pro,description,about,extra
Aimanas,Pakistan,"I speak English, Urdu",619 orders completed,I am a Software Engineer and a BEST WEB DESIGNER and DEVELOPER,Level 2,5,504 reviews for this Gig5,768,||WordPress||HTML5||JavaScript||Web development||CSS3||Bootstrap||PHP||MySQL||jQuery||Website design||+1,(496),(6),(2),(0),(0),N/A,I am a Software Engineer and a BEST WEB DESIGNER and DEVELOPERHello Fiver I am ANAS! I am best Web developer and Application Developer with experience of 5 Years and now doing Freelance Work so If you want best websites and Web Apps so feel free to Contact me.I am a software engineer so i can do much more things  so contact me I will never DISAPPOINT YOURead More,N/A,||Programming language:PHP||Expertise:Performance
crystalwings,India,"I speak Gujarati, English, Hindi",82 orders completed,PHP and Wordpress Developer,Level 2,5,30 reviews for this Gig5,62,||WordPress||PHP||HTML5||Stripe||Payment gateway||CSS||JavaScript||Adobe Photoshop||Graphic design||Wix||+16,(30),(0),(0),(0),(0),N/A,"PHP and Wordpress Developeri have 8+ year experience in php and wordpress development i have worked with 5k sites and i love to make creative and eye catching website like ecommerce, blog, multivendor etc with extensive knowledge of mobile and game development area to build many games and application in androidRead More",N/A,||Programming language:PHP||Expertise:Performance•Security•Design
Webdevos,Pakistan,"I speak English, Spanish, French, German",589 orders completed,Front end web developer and wordpress website developer and fixer,N/A,5,394 reviews for this Gig5,86,||HTML5||CSS3||Web development||Bootstrap||JavaScript||jQuery||Twitter Bootstrap||PSD to HTML||Website bug fixes||WordPress bug fixes||+3,(381),(9),(3),(1),(0),N/A,"Front end web developer and wordpress website developer and fixerI am an independent Freelancer with more than 7+ years experience of front end web development and wordpress website development with elementor and issue fixer of html and wordpress websites.
I have experience in developing a front end website and fixing issues of html and wordpress websites If you are looking for awesome front end website and solution for your web problems at affordable prices, then look no further. And first, ask me about your project before placing the order....

Skills:

HTML5

Css3

Bootstrap3

Media Queries

Jquery

Javascript

Wordpress

PSD To HtmlRead More",N/A,||Programming language:HTML & CSS
Sukunj Mendpara,India,"I speak English, Hindi, Gujarati",706 orders completed,Website and web application developer,Buyers keep returning,5,508 reviews for this Gig5,"1,436",||Programming||Web development||PHP||CSS||HTML||Bootstrap||JavaScript||Website design||MySQL||HTML5||+4,(497),(8),(2),(0),(1),N/A,"Website and web application developerHello Fiverr I have total 10+ years of experience in Web application development having a designation of Sr. PHP Developer. I can develop the new website from scratch or solve issues quickly & can mug up things faster.I have my excellent skills in PHP, Yii2, Yii, Laravel,Cakephp etc.Read More",N/A,||Programming language:PHP||Expertise:Debugging•Performance•Design
Haider,Pakistan,I speak English,300 orders completed,Software Engineer and Web developer,Level 2,5,176 reviews for this Gig5,246,||HTML5||SAS||Web development||Bootstrap||WordPress||MySQL||Website design||Node.js||Tailwind CSS||CSS3||+4,(173),(2),(0),(1),(0),N/A,"Software Engineer and Web developerI am a web developer with 5 years of freelancing experience in creating custom web calculators, plugins, and converting excel sheets into web apps. In addition to my practical skills, I am also pursuing a masters degree in artificial intelligence, combining my technical expertise in web development with my passion for AI. I enjoy working with clients to understand their needs and goals, and I am always looking for ways to improve my skills and stay up-to-date with the latest technologies and trends.Read More","Clients I’ve worked withPaktiveTravel & Tourism Blog/ChannelRFM Loyalty wanted to have one portal for managing the details of employees located in different locations. We have worked on his project and built an amazing web portal. It supports many features like authentication, authorization, and file uploads
Mar 2020-May 2021Predictable Growth as a ServiceMarketing AgencyIt is a website widget/calculator where users will get the growth plan based on their current metrics and annual growth. This project consists of the following features:
Generate result as PDF, email the result and share the result. Apr 2021-Jun 2021",||Programming language:JavaScript||Expertise:Algorithms & Data structures•Debugging+1 more
Javed,India,"I speak Hindi, English","1,100 orders completed",Senior Web Developer and Designer Full Time,Level 2,4.9,232 reviews for this Gig4.9,118,||PHP||jQuery||WordPress||WooCommerce||HTML||Web development||Web design||Logo design||Graphic design||Joomla||+10,(223),(5),(2),(2),(0),N/A,"Senior Web Developer and Designer Full TimeI would like to introduce myself as a Full time Professional Developer and Designer . and I have 4+ year experience in Wordpress+ PHP +Joomla development.
 My area of expertises : 
1)PHP 
2)WordPress 
3)Woocommerce 
4)HTML5,CSS 
5)JOOMLA 
6)PSD to HTML and Joomla , Wordpress 
7)Responsive Design 
8) TWILIO API

Read More",N/A,||Programming language:PHP||Expertise:Debugging•Security•Design
Moklas,Bangladesh,"I speak Bengali, English","1,100 orders completed","Email developer, designer, Marketer",Level 2,4.9,454 reviews for this Gig4.9,284,||HTML||HTML email template||Email development||Email template||Newsletter design||Mailchimp||Email marketing||Web development||+1,(436),(13),(4),(1),(0),N/A,"Email developer, designer, MarketerI am working as HTML e-mail developer specialist & newsletter designer since 2014. Designing newsletters; converting PSDs to responsive HTML email templates; testing browser and email client compatibility.

Expert Skills: HTML Email / newsletter design & Development
Intermediate Skills:  Email Marketing, SEO, SMM, Wordpress, MS Word, Excel, Powerpoint; 
Others: Litmus, Emailonacid, mailchimp, campaign monitor, photoshop,

Feel free to ask if you have any query. 
Read More",N/A,||Programming language:HTML & CSS||Expertise:Algorithms & Data structures•Debugging||Frontend framework:Other
Niels Leemans,Belgium,"I speak English, Dutch, French",170 orders completed,Developer,N/A,5,135 reviews for this Gig5,32,||Web programming||Cloud hosting||Email hosting||Domain & hosting||Web hosting||Server hosting||Music composition||Linux||Linux administration,(132),(2),(1),(0),(0),N/A,"DeveloperI'm Niels, a software expert. You can contact me for software debugging, installations, customization and even custom software development. I can also compose orchestral and alternative music for your project (movies, trailers, games, backing tracks).Read More",N/A,||Programming language:PHP||Expertise:Performance•Security•Design
Fanoos Ali,Pakistan,"I speak Urdu, English",150 orders completed,Zoho Expert,Level 2,5,52 reviews for this Gig5,19,||Zoho CRM||Zoho Books||Zoho||JavaScript,(51),(1),(0),(0),(0),N/A,"Zoho ExpertI am Fanoos Ali, I graduated with a Master's in Computer Science (MSCS). I am on Fiverr for the last 2 years, and working in the software market for about 5 years. I am expert in the customization and management of all applications of ZOHO. I have done hundreds of projects for almost every kind of business in all ZOHO applications ZOHO CRM, ZOHO CRM Plus, ZOHO Creator, ZOHO Books, ZOHO Sales iq, ZOHO Forms, ZOHO Flow...etc
I am an expert in Deluge (used for writing custom functions to customize your workflow) which is ZOHO's native language. Read More",N/A,||Programming language:Other
Ali,Pakistan,"I speak English, Urdu, French, Spanish","1,400 orders completed",I'm here to sell my experience,Top Rated,5,"1,095 reviews for this Gig5",475,||Web development||WordPress||HTML5||JavaScript||CSS3||PHP||jQuery||Bootstrap||Java||MySQL||+18,"(1,081)",(13),(0),(0),(1),N/A,"I'm here to sell my experienceHey, I am a full-stack developer having specialized in the backend. I have 7+ years in the web development field and I am here to improve your business and fix your site's issues. I have a lot of experience in PHP, MySQL, HTML5, CSS3. Bootstrap4, JavaScript, jQuery, WordPress, Shopify, Wix, and many more. I made a lot of sites from scratch to full product with responsiveness. ThanksRead More",N/A,||Programming language:PHP||Expertise:Algorithms & Data structures•Debugging•Security||Frontend framework:React.js•AngularJS•jQuery•Bootstrap+1 more||Backend framework:Django•Laravel•Node.js•CakePHP
Sohail R.,Pakistan,"I speak Urdu, English",351 orders completed,Will never promise to do what i can't do,Level 2,5,181 reviews for this Gig5,236,||Google Docs||Google Spreadsheet||Google Forms||Google Calendar||Gmail||Google Suite||Google Apps Script||Google Sheets||JavaScript,(178),(3),(0),(0),(0),N/A,"Will never promise to do what i can't doWith 4+ years of experience in Google Apps Script, I've delivered innovative solutions to hundreds of clients across various industries. My fluency in English eliminates language barriers, and I offer custom-built tools for workflow automation and third-party integrations. As a professional developer, I'm committed to delivering high-quality work on time and within budget. Let's work together to take your business to the next level with a custom Google Apps Script solution.Read More",N/A,||Programming language:Other
Jame Abir,Bangladesh,"I speak Bengali, English, Spanish","3,300 orders completed","Expert in html, css, tailwindcss, responsive design, wordpress",Top Rated,4.9,"1,829 reviews for this Gig4.9","1,489",||HTML||CSS||WordPress||Website design||Web development||Bootstrap||HTML5||CSS3||Wordpress theme development||Tailwind CSS||+2,"(1,762)",(50),(7),(3),(7),N/A,"Expert in html, css, tailwindcss, responsive design, wordpressHi, I am Jameabir, a professional web designer & WordPress developer with 9+ years of experience with over 3000+ Orders completed on Fiverr, and have been serving the Fiverr community since 2014. 

You will get hand-typed, well-documented, SEO friendly and w3c validated with the latest bootstrap. Each site we develop is using the latest development principles and techniques to meet modern web standards.

We specialize in HTML5, CSS/CSS3, Tailwindcss, BOOTSTRAP, JAVASCRIPT/JQUERY.



Feel free to contact us, cheers!Read More",N/A,||Programming language:HTML & CSS||Expertise:Algorithms & Data structures•Debugging+1 more
Yash Dhiman,India,"I speak Hindi, English",94 orders completed,passionate about coding and creative writing,Level 1,5,68 reviews for this Gig5,10,||Poetry writing||Content writing||Python||Creative writing||Problem solving||Linux,(68),(0),(0),(0),(0),N/A,"passionate about coding and creative writingi am a software engineer with 4+ years of experience in python, c++ and c.
i am also passionate about creative writing and have 6+ years (as a freelancer) in this field!

ping me and we can have a conversation from coding to creative writing!Read More",N/A,||Programming language:Python||Expertise:Algorithms & Data structures•Debugging+3 more
Akash,Bangladesh,I speak English,124 orders completed,"Less is more , Creative Design",Level 1,5,59 reviews for this Gig5,37,||Responsive design||Email templates design||Email template||Email template development||HTML email template||Email newsletter design||Newsletter design||+6,(58),(1),(0),(0),(0),N/A,"Less is more , Creative DesignHi this is Akash. I am a Professional Email template developer, I am also an expert in CMS like WordPress, Shopify, and Wix. ",N/A,||Programming language:HTML & CSS
Garrett,United States,I speak English,641 orders completed,Programmer,Top Rated,5,N/A,191,||Python||Coding||Algorithmic trading||Day trading||Stock trading||Crypto trading,N/A,N/A,N/A,N/A,N/A,N/A,"ProgrammerMy favorite and most knowledgeable languages are ThinkorSwim's thinkscript and Tradingview's pinescript. 

I can code your custom indicators, strategies, and or watchlists!
",N/A,||Programming language:Other
Jahangir,Bangladesh,I speak English,345 orders completed,Good services at a reasonable price with quality ensured!,Level 2,5,224 reviews for this Gig5,82,||HTML||CSS||JavaScript||jQuery||PHP||MySQL||WordPress||WooCommerce||Elementor||SEO||+6,(222),(0),(0),(0),(2),N/A,"Good services at a reasonable price with quality ensured!Hello there!
I'm Jahangir, a professional web developer having 3 years of working experience in a local IT company.

I'm experienced on HTML, CSS, JavaScript, jQuery, PHP, MySQL.

Also have great experience in CMS like WordPress & Shopify.

I'm a professional and highly dedicated to my work. Hope my work will help you a lot.

Feel free to contact me for any questions.

Thanks in advance :)Read More",N/A,||Programming language:PHP
ppbharina,Philippines,"I speak English, Tagalog, Arabic",64 orders completed,"Drafter, 3d Modeler",Level 2,5,23 reviews for this Gig5,19,||Autodesk AutoCAD||Autodesk Revit||Adobe Photoshop||Autodesk Inventor||SolidWorks,(23),(0),(0),(0),(0),N/A,"Drafter, 3d ModelerI have a love for AutoCAD programming and IT in general that I bring to all my work. I am meticulous and am always learning more about my field to both stay current and expand on my skills. I have more than 15 years of experience working as an AutoCAD drafter, including a couple of years freelancing as a 3D modeler, BIM modeler, and doing programming while I am learning. I have a real love of IT and programming. I find the whole field endlessly fascinating. I have a problem-solving attitude so bring on your problems and I will get them fixed.Read More",N/A,N/A
Raju Rayhan,Bangladesh,"I speak Bengali, English, Hindi",49 orders completed,Full Stack Web Developer,Level 1,4.9,25 reviews for this Gig4.9,30,||JavaScript||Node.js||React||CSS3||Website design||PHP||PHP Laravel||Laravel||MongoDB||Next.js||+17,(23),(2),(0),(0),(0),N/A,"Full Stack Web DeveloperI have been working more than three years as MERN Stack | PHP Laravel Developer. I have completed many of projects for clients over the world.  Feel free to contact me so that we may have discuss about your project. 

My Professional Skills:- PHP | Laravel | JavaScript | NodeJS | Firebase | React JS | Next JS | Redux | Express JS | TypeScript | RESTful APIs | JSON parsing| JWT | Postman | MongoDB | MySQL | GitRead More",N/A,||Programming language:PHP||Expertise:Debugging•Design
Charan S,Canada,I speak English,"1,400 orders completed",Vetted Microsoft 365 Consultant with 19 Years of Experience,Top Rated,5,169 reviews for this Gig5,280,||Dynamics CRM||Microsoft Office 365||PowerShell||Microsoft Azure||RPA||Microsoft SharePoint||Power Apps||Dynamics 365||Microsoft Teams||+7,(166),(2),(1),(0),(0),N/A,"Vetted Microsoft 365 Consultant with 19 Years of ExperienceI'm a Microsoft 365 practice lead specializing in SharePoint, Dynamics 365 and Power Platform, a Microsoft Certified Technology Specialist with 18 years of rich industry experience.

I deliver high quality work and respect budget and deadlines. I don't rush the process, if you're contacting me, it's important and needs attention that it deserves.

Everyone likes getting business, what matters is how ethically and professionally it's executed.Read More","Clients I’ve worked withShow all (3)PhilipsElectronics ManufacturingWorked with the learning and development team to setup, extend their SharePoint Intranet and provided training to their team for content creation. Jul 2020-Sep 2020UnileverConsumer GoodsWorked on multiple projects leveraging SharePoint, Power Platform and RPA to improve business process efficiencies.Nov 2021-Jul 2022",N/A
Shahzaib,Pakistan,"I speak Urdu, English",42 orders completed,N/A,Level 1,5,35 reviews for this Gig5,3,||Programming||Software development,(34),(1),(0),(0),(0),N/A,"Hello there.
I am an experienced Software Engineer ready to develop your custom projects and tasks.
I have more than 4 years experience in Programming and working as a freelancer for last 3 years.",N/A,N/A
Mehtab Ahmed,Pakistan,I speak English,356 orders completed,N/A,Level 2,5,191 reviews for this Gig5,78,||Windows server||VMware||Technical support||Microsoft Exchange,(186),(4),(0),(1),(0),N/A,"Hi! I'm Mehtab. I am a professional in IT. I hold a B.Sc. and have pursued technology with all my heart which has always been a passion for me. I work as a System Administrator for a private company. I work on the side as a freelancer to help support my family. I look forward to getting to know you more. 
I have a vast experience of:-
1. VMware virtualization
2. Windows Server 2012 R2, 2016, 2019 & Windows 10
3. Microsoft Active Directory and DNS Server
4. PowerShell Scripting
5. DHCP servers
6. Print Services
7. Remote Desktop Services 
8. Microsoft Exchange ServerRead More",N/A,||Expertise:Debugging•Performance•Operating systems
Tariq Ahmed,Pakistan,"I speak English, Urdu",60 orders completed,N/A,Level 2,5,34 reviews for this Gig5,16,||JavaScript ES6||React||Next.js||Python||Django||Django rest framework,(32),(2),(0),(0),(0),N/A,"My name is Tariq, and I am a diligent and enthusiastic learner with over three years of experience. Currently, I am using Python to build modern web applications. I work with the Django and React frameworks to create these applications and solve practical problems.Read More",N/A,||Programming language:Python||Expertise:Algorithms & Data structures•Debugging•Performance+2 more||Frontend framework:React.js•jQuery•Bootstrap•Tailwind CSS•Other||Backend framework:Django•Express.js•Node.js•Flask•Other
Vishwa M,Pakistan,"I speak Urdu, English",262 orders completed,Software Developer,Level 2,5,159 reviews for this Gig5,69,||Python||Programming||Machine learning||Data science||Data analysis,(158),(1),(0),(0),(0),N/A,"Software DeveloperI am a Computer Systems Engineer, a highly motivated and keen learner, having multidimensional and versatile attire. Currently, developing Desktop and Web applications using Python and its frameworks.",N/A,||Programming language:Python||Expertise:Algorithms & Data structures•Debugging+3 more||Backend framework:Django
Scaleupgigs,United Arab Emirates,I speak English,650 orders completed,Delivering Creative Solutions,Buyers keep returning,5,80 reviews for this Gig5,197,||WordPress||Typeform||Google Forms||Jotform||Shopify||Trello||HubSpot CRM||Mailchimp||Zapier||HTML||+14,(80),(0),(0),(0),(0),N/A,"Delivering Creative SolutionsAs a digital transformation specialist 🚀, 
I've helped countless clients leverage the latest solutions in the areas of digital marketing & workflow automation. So feel free to drop in for a discussion about what you're looking for. 

A select few platforms/segments I've worked with include:
📝 Complex forms with integrations (Jotform, Typeform, etc.)
♾️ Workflow automations (Zapier, Integromat/Make)
📣 CRMs (ActiveCampaign, MailChimp, Klaviyo, PipeDrive, HubSpot, etc.)
🌐 Web (WordPress, Shopify, Clickfunnels, etc.)Read More","Clients I’ve worked withShow all (3)Advantage Agriculture Company- Built a Comprehensive Jotform with mapping of answer fields to the template PDF.
- Built an Order Info Fetching system within Jotform where the order number automatically fetched all order details.
- Integrated with Google Drive.Jan 2022-Apr 2022Entrepreneurs' OrganizationProfessional Services✅ Designed marketing email templates & setup drip email campaigns using Zapier.
✅ Integrated multiple Typeforms to pass hidden fields across forms + setup conditional thank you screens.
✅ Setup a mechanism to extract relevant fields from emails.Aug 2022",||Programming language:Other
Md Sumon Khan,Bangladesh,"I speak English, Spanish",57 orders completed,Front end Web Developer and WordPress Expert,Level 1,5,38 reviews for this Gig5,278,||WordPress||WordPress customization||Adobe Photoshop||PSD to HTML||Website design||Web development||Adobe Illustrator||JavaScript||jQuery,(38),(0),(0),(0),(0),N/A,"Front end Web Developer and WordPress ExpertHey there, I am Sumon Khan a front-end web developer and WordPress expert. I focused on providing reliable solutions that can yield the best results in the circumstances and move you closer to your goals. Whether it is WordPress, Custom Coding, or Front-end Design, I would love to help. I focus on listening and understanding exactly what you need and aim at producing results that can bring long-term benefits to your business. I am eager to help you in your next digital adventure, Let's discuss and develop something great!Read More",N/A,||Programming language:HTML & CSS
Fendi,Indonesia,"I speak English, Indonesian",109 orders completed,Programming Expert,Level 2,5,54 reviews for this Gig5,17,||Python||Google Data Studio||Data science||AWS Lambda||Node.js||System architecture,(54),(0),(0),(0),(0),N/A,"Programming ExpertHi, I am an expert in software development with 10+ years of experience building applications for small to large companies with thousands to millions of users.

My areas of expertise are Python, NodeJS, Javascript, Typescript, C# DotNet, PHP, Database Design, Data Science, System Architecture, and AI/ML. 

I work with clients all over the globe and have developed long-term professional relationships with them. 

I enjoy traveling and photography.

Contact me now to begin discussing your projects today!Read More",N/A,||Programming language:Python||Expertise:Performance•Security•Design||Frontend framework:React.js•Vue.js•jQuery•Bootstrap||Backend framework:Django•Express.js•Node.js•Flask
Riky,India,"I speak English, French","4,000 orders completed",Client satisfaction is my first priority,Buyers keep returning,5,318 reviews for this Gig5,445,N/A,(315),(1),(1),(1),(0),N/A,"Client satisfaction is my first priorityHi, I am expert for email development. I can help you for build emails for various  ESP platforms such as Mailchimp, Campaign Monitor, Salseforce Marketing Cloud, Pardot, Marketo, Sendgrid, Hubspot, Constant Contact, Active Campaign, iContact, Klaviyo, IBM Watson, Drip, Braze & many more available ESP platforms.Read More",N/A,||Programming language:HTML & CSS
Tanjil Ahmed,Bangladesh,"I speak Bengali, English",63 orders completed,UI UX Designer and Frontend Developer,Level 2,5,33 reviews for this Gig5,26,||Next.js||React||Bootstrap 5||Tailwind CSS||Adobe Photoshop||Google Firebase||Node.js||TypeScript||JavaScript||Python,(33),(0),(0),(0),(0),N/A,"UI UX Designer and Frontend DeveloperI'm a professional front-end web/mobile UI developer and Photoshop expert based in Bangladesh. I have over 2 years of experience in working with JavaScript, NodeJS, React, Nextjs, Bootstrap, TailwindCSS and Firebase. As of today, my favorite front end framework is NextJS and TailwindCSS combo.

I'm very passionate about my projects and always ready to challenge myself to work with trendy designs and technologies.Read More",N/A,||Programming language:TypeScript||Expertise:Algorithms & Data structures•Debugging•Performance+2 more||Frontend framework:React.js•jQuery•Bootstrap•Tailwind CSS•Other||Backend framework:Express.js•Node.js•Other
